"","Clade","Genus","Species","double","English","Bill","Mass","WingChord"
"130","Brilliant","Pterophanes","cyanopterus","Pterophanes cyanopterus","Great Sapphirewing",28.425,10.325,109.46
"131","Coquettes","Ramphomicron","microrhynchum","Ramphomicron microrhynchum","Purple-backed Thornbill",7.74,3.67,49.85
"132","Mangoe","Schistes","geoffroyi","Schistes geoffroyi","Wedge-billed Hummingbird",13.905,3.56,52.86
"133","Emerald","Thalurania","colombica","Thalurania colombica","Violet-crowned Woodnymph",18.715,4.46,53.99
"134","Emerald","Thalurania","fannyi","Thalurania fannyi","Green-crowned Woodnymph",19.258064516129,4.43548387096774,54.7741935483871
"135","Emerald","Thalurania","furcata","Thalurania furcata","Fork-tailed Woodnymph",20.7,4.69,55.99
"136","Hermit","Threnetes","leucurus","Threnetes leucurus","Pale-tailed Barbthroat",28.96,6.08,61.06
"137","Hermit","Threnetes","niger","Threnetes niger","Sooty Barbthroat",30.6,6.4,66
"138","Hermit","Threnetes","ruckeri","Threnetes ruckeri","Band-tailed Barbthroat",29.88,6.31,58.81
"139","Brilliant","Urochroa","bougueri","Urochroa bougueri","White-tailed Hillstar",30.9,11.9,78.9
"140","Brilliant","Urosticte","benjamini","Urosticte benjamini","Purple-bibbed Whitetip",19.1,3.71666666666667,49.7666666666667
"141","Brilliant","Urosticte","ruficrissa","Urosticte ruficrissa","Rufous-vented Whitetip",18.9,4.7,57.48
